id,name,urlname,link,rating,created,description,member_id,mname
332424,Shezaim: Delhi Network for Tarot & Divination,tarot-295,https://www.meetup.com/tarot-295/,4.93,1159277352e3,"<p>We call all Tarot Seekers , Amatours, Readers learners, Spiritualist, energy healers and pple interested in spirituality to come &amp; explore mystic world of Tarot and Divination. Discuss and enhance your knowledge about solving problems through Tarot &amp; Divination.</p>
<p>Shezaim Delhi Tarot Network is working for Tarot in Delhi, for spreading awareness on Tarot and making Tarot reachable to Delhites.</p>
<p>We will also be discussing about Energy Healings and Distant healings in seperate meetings from Tarot meetings, ppl interested in Distant Healings and other energy healings are also welcome. Mail us for any further details at madhu@indiatarot.com or shezaim@rediffmail.com, also visit our websites at <a href=""http://www.indiatarot.com"">www.indiatarot.com</a> and <a href=""http://www.wiccaindia.com"">www.wiccaindia.com</a></p>",2392496,Madhu
1328793,The NewAge Foundation (Delhi NCR),The-NewAge-Foundation-Meetup-Group,https://www.meetup.com/The-NewAge-Foundation-Meetup-Group/,4.94,122777925e4,"<p>Join Free &amp; Meet other locals to discuss your spiritual path. Share your most profound and transformational personal experiences and talk about ways to incorporate spirituality into your life. Open to people of all faiths and cultures! Inspired by the Newage Vision, The NewAge Foundation, organizes Motivational, Spiritual and Leadership Training Seminars and Workshops to facilitate speakers and trainers to reach out to the society. The Foundation also organizes Meditation Camps and Spiritual Retreats, Courses on Tarot, Feng-Shui, I-Ching, Vastu, Aromacology, Energy Healing, Ayurveda and other Alternative healing Methods around India and also Law of Attraction for inviting spirituality with material abundance and prosperity in your life. By being a member of this group you will get updates on all our events through emails and will also get special price offers. Membership of this group is FREE and members can get upto 20% Discount on some of our our workshops &amp; events!</p>
<p>Visit us on www.TheNewAgeFoundation.org</p>",3364436,Sandeep Goswamy
1338211,The India Business Owners Meetup Group,The-Business-Owners-Meetup-Group,https://www.meetup.com/The-Business-Owners-Meetup-Group/,4.61,1229329667e3,"<p><span><strong>This is a forum for the Leader Entrepreneur !</strong></span></p>
<p><strong><em>This group has been created to help people already in or thinking about getting in any kind of Business.&nbsp;Anyone who is a Business Owner or in a Network Marketing Business already or is wanting to be one, can join. <br> <br> Come and share your vision with the other like minded people and who knows you find that one person who shares your vision! <br> <br> This is a forum where you can connect with fellow entrepreneurs who have established successful Network Marketing enterprises as well as those who are in the process.</em></strong></p>
<p><em>This is a place where Business people can come and share their business opportunities with like minded interested people.</em></p>
<p><span>We will also organise talks, motivational / success seminars and workshops.</span></p>",3364436,Sandeep Goswamy
1343006,The Law of Attraction & Personal Growth Meetup Group,The-Law-of-Attraction-Meetup-Group,https://www.meetup.com/The-Law-of-Attraction-Meetup-Group/,4.86,1230204677e3,<p>Meetup with locals who are interested in practicing the science and ideology of The Law of Attraction in an effort to attract abundance/prosperity; getting what one desires. Meetup with people interested in Self-Improvement &amp; Personal Growth.</p>,3364436,Sandeep Goswamy
1434294,★★The Gurgaon Coffee Meetup Group★★,The-Gurgaon-Coffee-Meetup-Group,https://www.meetup.com/The-Gurgaon-Coffee-Meetup-Group/,4.34,1239728969e3,"<p>Meet amazing people in Gurgaon interested in anything/everything along with a Coffee/Beer/Dinner. Whether you're a social animal or looking forward to make a few lovely friends. This place is for you.</p>
<p>Laugh, have fun and relax...</p>
<p><span><strong>Gurgaon Coffee meetup is held every week!</strong></span></p>
<p>Managed &amp; Run By: <br> <span>Golden Inspirations&nbsp; <br> </span> <a href=""http://www.goldeninspiration.com"">http://www.goldeninspiration.com <br> </a></p>",5050934,Shiraz
1527790,NewAge Transformation Club,NewAgeTransformationClub,https://www.meetup.com/NewAgeTransformationClub/,4.61,1253589245e3,"<p>This club is all about relationship. Your relationship with your body, mind, soul and your soul mate and associated karma, belief, patterns and pain along the way.</p>
<p>We never meet a stranger in our life time as much as body to the soul is not a stranger, each of our relationships in this life time is about giving us required experience for the journey of our soul.It is about the promise we made to our self and to our higher self before taking birth, that we begin to manifest each of those experiences which are required for our evolution.</p>
<p>We commonly dub our experiences in good and bad, happiness and pain and we continue to desire without knowing what is the purpose of our life. At spirit level as much as our inner level, each experience has its reason, purpose and teaching and each of the experience is good for the soul.</p>
<p>Let us decode the scientific reasons behind each of the these experiences. Let us begin to change our past and let us evolve with higher level of consciousness. Change is with efforts and driven by mind and will power but transformation requires little shift in the consciousness to manifest richness, joy and abundance.</p>
<p>Alternate healing such as Past life regression, Tantra, meditation are all tools but do not work unless we understand the science behind it and decode the mysteries in our life. This club is an initiative by some souls vibrating at similar frequency( albeit known as like minded people) who have traveled long distances in search of questions which concerns each one of us but we never found a satisfactory answers....</p>
<p>For our online community and active participation in discussions etc, please join us at www.TheNewAgeFoundation.org</p>",8459134,The NewAge Foundation
1574032,"I am Happy Project - Ni Dilli, Indian",I-am-Happy-Project-Ni-Dilli-Indian,https://www.meetup.com/I-am-Happy-Project-Ni-Dilli-Indian/,4.4,1262038671e3,"<p>Happiness is a state of mind or feeling characterized by contentment, satisfaction, pleasure, or joy. Happiness comes from deep within, and not from people, situations, or circumstances.</p>
<p>According to Researchers from Harvard Medical School and the University of California, San Diego:</p>
<p>&ldquo;When an individual becomes happy, the network effect can be measured up to three degrees. One person&rsquo;s happiness triggers a chain reaction that benefits not only his friends, but his friends&rsquo; friends, and his friends&rsquo; friends&rsquo; friends. The effect lasts for up to one year.&rdquo;</p>
<p>Since whatever we focus on grows, the aim of this group is to help members focus on happiness and to spread it at every opportunity.</p>
<p>If you are a happy person and want to socialize and network with other happy people, this is for you. If your goal is to become a happier person this group is for you. If you want to contaminate others with your happiness, this group is definitely for you. Visit http://iamhappyproject.org for more information; while you are there please follow us on twitter and like us on Facebook.</p>
<p>What are</p>",10896107,I am Happy Project 
1636509,Social Media Breakfast,Social-Media-Breakfast,https://www.meetup.com/Social-Media-Breakfast/,4.36,1272291052e3,"<p>We are nearing our 100th Meetup for Social Media Breakfast. We have come a long way, witnessing the evolution of Social Media and building some wonderful relationships. The breakfast is every Friday Morning, open to all. Breakfast is on us, just bring your excitement and curiosities about Social Media. See you next Friday :-)</p>",17767391,Vishwa Ranjan
1685037,Gurgaon iPhone Developers/Entrepreneurs Meetup Group,Gurgaon-iPhone-Developers-Entrepreneurs-meetup,https://www.meetup.com/Gurgaon-iPhone-Developers-Entrepreneurs-meetup/,2,1280837675e3,"<p>Gurgaon iPhone Developers/Entrepreneurs meetup is platform to discuss about the latest trends and marketing opportunities in the iPhone industry.&nbsp;</p>
<p> This group discusses technical and non technical aspects of iPhone development. Discussions will includes development technologies and techniques, marketing iPhone apps and other Entrepreneurial opportunities in iPhone domain.</p>",89329922,Rajan Balana
1688611,Gurgaon Android App Developers/Entrepreneurs meetup group,Gurgaon-Android-App-Developers-Entrepreneurs-meetup-group,https://www.meetup.com/Gurgaon-Android-App-Developers-Entrepreneurs-meetup-group/,2.25,1281418805e3,"<p>Gurgaon Android App Developers/Entrepreneurs meetup group is platform to discuss about the latest trends and marketing opportunities in the Android industry.<br>

This group discusses technical and non technical aspects of Android development. Discussions will includes development technologies and techniques, Marketing Android apps and other Entrepreneurial opportunities in Android domain.</p>",139589422,Vijay Rastogi
