urlkey,name,id,gid1
tarot,Tarot,847,332424
meditation,Meditation,1322,332424
kabbalah,Kabbalah,2054,332424
hypnosis,Hypnosis,2521,332424
wiccan,Wiccan,3862,332424
angels,Angels,7477,332424
runes,Runes,7690,332424
energy-healing,Energy Healing,15738,332424
magick,Magick,17252,332424
alternative-healing,Alternative Healing,17441,332424
pranic-healing,Pranic Healing,20654,332424
crystal-healing,Crystal Healing,21821,332424
past-life-and-akashic-records,Past Life and Akashic Records,47616,332424
astrology,Astrology,218,1328793
tarot,Tarot,847,1328793
reiki,Reiki,1204,1328793
meditation,Meditation,1322,1328793
hypnosis,Hypnosis,2521,1328793
angels,Angels,7477,1328793
lifetransform,Life Transformation,8702,1328793
spirituality,Spirituality,10290,1328793
wellness,Wellness,10306,1328793
energy-healing,Energy Healing,15738,1328793
life-coaching,Life Coaching,18692,1328793
past-life-regression,Past Life Regression,18888,1328793
theta-healing,Theta Healing,30460,1328793
nlp-neurolinguistic-programming,NLP (Neuro-Linguistic Programming),43763,1328793
vastu,Vastu,69289,1328793
feng-shui-i-ching-energy-clearing,Feng Shui & I Ching & Energy Clearing,81686,1328793
smallbiz,Small Business,389,1338211
ebizowners,E-Business Owners,1330,1338211
networkmarket,Network Marketing,2532,1338211
success,Success,15140,1338211
business-referral-networking,Business Referral Networking,15405,1338211
online-marketing,Online Marketing,15585,1338211
professional-networking,Professional Networking,15720,1338211
affiliate-marketing,Affiliate Marketing,15899,1338211
financial-freedom,Financial Freedom,16899,1338211
business-strategy,Business Strategy,17635,1338211
home-based-business,Home-Based Business,18758,1338211
entrepreneurship,Entrepreneurship,19882,1338211
business-entrepreneur-networking,Entrepreneur Networking,20060,1338211
creating-a-successful-business,Creating a Successful Business,30609,1338211
motivated-entrepreneurs,Motivated Entrepreneurs,52164,1338211
personal-achievement,Personal Achievement,122618,1338211
meditation,Meditation,1322,1343006
abrahamhicks,Abraham Hicks,2756,1343006
liferepattern,Life Repatterning,3200,1343006
self-improvement,Self-Improvement,3336,1343006
